location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
IT0761A,Milano,IT,2020-10-01T07:00:00Z,2020-10-01T09:00:00+02:00,no2,50.20848,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T06:00:00Z,2020-10-01T08:00:00+02:00,no2,35.897663,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T05:00:00Z,2020-10-01T07:00:00+02:00,no2,18.282154,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T04:00:00Z,2020-10-01T06:00:00+02:00,no2,20.046041,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T03:00:00Z,2020-10-01T05:00:00+02:00,no2,14.271908,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T02:00:00Z,2020-10-01T04:00:00+02:00,no2,15.519599,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T01:00:00Z,2020-10-01T03:00:00+02:00,no2,27.140491,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-10-01T00:00:00Z,2020-10-01T02:00:00+02:00,no2,17.833403,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-30T23:00:00Z,2020-10-01T01:00:00+02:00,no2,10.572937,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-30T22:00:00Z,2020-10-01T00:00:00+02:00,no2,14.71288,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-30T21:00:00Z,2020-09-30T23:00:00+02:00,no2,21.426023,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-30T20:00:00Z,2020-09-30T22:00:00+02:00,no2,62.53493,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-30T19:00:00Z,2020-09-30T21:00:00+02:00,no2,71.26617,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
